customer_id,customer_name,email,city,state,age,membership_tier,join_date
59,Customer_59,customer59@email.com,Philadelphia,TX,62,Silver,2021-03-05
60,Customer_60,customer60@email.com,San Jose,CA,21,Silver,2021-06-30
61,Customer_61,customer61@email.com,Houston,CA,33,Platinum,2020-05-26
62,Customer_62,customer62@email.com,Philadelphia,CA,41,Bronze,2020-12-16
63,Customer_63,customer63@email.com,Los Angeles,PA,33,Bronze,2022-12-29
64,Customer_64,customer64@email.com,San Jose,IL,72,Platinum,2021-05-16
65,Customer_65,customer65@email.com,Los Angeles,TX,19,Gold,2020-11-30
66,Customer_66,customer66@email.com,San Jose,TX,66,Silver,2022-08-04
67,Customer_67,customer67@email.com,Houston,NY,45,Silver,2022-02-16
68,Customer_68,customer68@email.com,San Diego,TX,49,Bronze,2021-07-06
69,Customer_69,customer69@email.com,San Antonio,NY,44,Bronze,2021-03-25
70,Customer_70,customer70@email.com,Dallas,AZ,37,Silver,2021-10-26
71,Customer_71,customer71@email.com,San Diego,TX,41,Bronze,2020-04-24
72,Customer_72,customer72@email.com,Phoenix,CA,29,Silver,2021-04-14
73,Customer_73,customer73@email.com,Los Angeles,CA,67,Bronze,2020-03-06
74,Customer_74,customer74@email.com,Phoenix,TX,52,Platinum,2021-10-08
75,Customer_75,customer75@email.com,San Diego,IL,77,Platinum,2022-04-01
76,Customer_76,customer76@email.com,San Jose,NY,50,Silver,2021-07-02
77,Customer_77,customer77@email.com,Dallas,NY,50,Silver,2020-05-15
78,Customer_78,customer78@email.com,Dallas,IL,78,Bronze,2021-03-08
79,Customer_79,customer79@email.com,New York,PA,68,Gold,2021-10-06
80,Customer_80,customer80@email.com,Dallas,TX,60,Silver,2021-03-11
81,Customer_81,customer81@email.com,San Antonio,PA,54,Bronze,2022-10-19
82,Customer_82,customer82@email.com,Dallas,PA,29,Platinum,2022-03-21
83,Customer_83,customer83@email.com,San Diego,PA,20,Gold,2022-07-28
84,Customer_84,customer84@email.com,New York,IL,18,Platinum,2020-10-19
85,Customer_85,customer85@email.com,San Diego,PA,50,Gold,2021-06-26
86,Customer_86,customer86@email.com,San Diego,CA,57,Silver,2020-10-12
87,Customer_87,customer87@email.com,Chicago,CA,27,Silver,2021-05-20
88,Customer_88,customer88@email.com,New York,AZ,60,Platinum,2021-06-22
89,Customer_89,customer89@email.com,San Diego,NY,61,Gold,2022-05-27
90,Customer_90,customer90@email.com,Chicago,NY,46,Bronze,2022-03-28
91,Customer_91,customer91@email.com,Chicago,AZ,30,Bronze,2022-01-11
92,Customer_92,customer92@email.com,New York,IL,29,Bronze,2021-03-25
93,Customer_93,customer93@email.com,Phoenix,TX,48,Gold,2020-10-10
94,Customer_94,customer94@email.com,San Jose,IL,63,Platinum,2022-11-09
95,Customer_95,customer95@email.com,San Antonio,NY,19,Bronze,2022-10-07
96,Customer_96,customer96@email.com,San Jose,NY,78,Silver,2020-07-05
97,Customer_97,customer97@email.com,Dallas,AZ,68,Bronze,2020-04-06
98,Customer_98,customer98@email.com,San Antonio,PA,67,Platinum,2020-08-12
99,Customer_99,customer99@email.com,Dallas,IL,52,Gold,2020-11-09
100,Customer_100,customer100@email.com,San Diego,TX,40,Gold,2020-11-23
101,Customer_101,customer101@email.com,Los Angeles,AZ,34,Silver,2022-05-14
102,Customer_102,customer102@email.com,New York,CA,43,Silver,2020-05-10
103,Customer_103,customer103@email.com,San Antonio,NY,25,Bronze,2022-02-27
104,Customer_104,customer104@email.com,San Antonio,AZ,46,Bronze,2022-02-20
105,Customer_105,customer105@email.com,San Diego,IL,43,Gold,2022-08-16
106,Customer_106,customer106@email.com,Phoenix,NY,27,Gold,2022-12-19
107,Customer_107,customer107@email.com,Chicago,TX,43,Platinum,2021-05-29
108,Customer_108,customer108@email.com,San Diego,AZ,79,Platinum,2020-01-24
109,Customer_109,customer109@email.com,Philadelphia,TX,51,Silver,2020-08-22
110,Customer_110,customer110@email.com,Chicago,NY,68,Gold,2021-06-30
111,Customer_111,customer111@email.com,New York,IL,58,Platinum,2021-11-27
112,Customer_112,customer112@email.com,Chicago,CA,24,Gold,2020-08-16
113,Customer_113,customer113@email.com,Phoenix,TX,21,Bronze,2021-08-24
114,Customer_114,customer114@email.com,Chicago,CA,75,Silver,2022-06-09
115,Customer_115,customer115@email.com,New York,PA,70,Bronze,2020-11-19
116,Customer_116,customer116@email.com,Phoenix,CA,67,Platinum,2022-07-18
117,Customer_117,customer117@email.com,San Jose,IL,62,Silver,2020-01-07
118,Customer_118,customer118@email.com,San Antonio,CA,28,Bronze,2021-06-23
119,Customer_119,customer119@email.com,San Antonio,CA,46,Silver,2022-10-22
120,Customer_120,customer120@email.com,Dallas,CA,73,Silver,2020-12-31
121,Customer_121,customer121@email.com,San Jose,PA,53,Bronze,2022-11-05
122,Customer_122,customer122@email.com,San Jose,TX,42,Bronze,2020-08-05
123,Customer_123,customer123@email.com,Chicago,CA,38,Silver,2021-09-03
124,Customer_124,customer124@email.com,San Antonio,CA,78,Silver,2022-11-05
125,Customer_125,customer125@email.com,New York,CA,74,Gold,2021-02-11
126,Customer_126,customer126@email.com,Houston,CA,53,Silver,2020-11-09
127,Customer_127,customer127@email.com,Houston,NY,27,Gold,2022-02-04
128,Customer_128,customer128@email.com,Phoenix,CA,54,Silver,2020-11-26
129,Customer_129,customer129@email.com,San Antonio,NY,26,Silver,2022-12-22
130,Customer_130,customer130@email.com,San Antonio,TX,41,Gold,2020-01-02
131,Customer_131,customer131@email.com,Houston,PA,52,Silver,2021-10-25
132,Customer_132,customer132@email.com,San Antonio,TX,66,Bronze,2022-09-27
133,Customer_133,customer133@email.com,Chicago,CA,52,Bronze,2020-02-09
134,Customer_134,customer134@email.com,Philadelphia,TX,65,Gold,2020-08-17
135,Customer_135,customer135@email.com,Los Angeles,CA,53,Silver,2022-01-13
136,Customer_136,customer136@email.com,San Jose,IL,35,Gold,2021-09-21
137,Customer_137,customer137@email.com,Dallas,CA,66,Bronze,2021-05-05
138,Customer_138,customer138@email.com,Phoenix,TX,56,Bronze,2020-04-28
139,Customer_139,customer139@email.com,Philadelphia,CA,49,Bronze,2021-05-08
140,Customer_140,customer140@email.com,Houston,CA,41,Bronze,2020-06-10
141,Customer_141,customer141@email.com,San Jose,TX,40,Silver,2020-06-24
142,Customer_142,customer142@email.com,San Antonio,TX,79,Bronze,2022-09-22
143,Customer_143,customer143@email.com,Dallas,TX,49,Silver,2020-05-21
144,Customer_144,customer144@email.com,San Antonio,TX,54,Platinum,2022-12-26
145,Customer_145,customer145@email.com,New York,NY,29,Bronze,2020-09-14
146,Customer_146,customer146@email.com,New York,CA,66,Silver,2020-09-19
147,Customer_147,customer147@email.com,Dallas,IL,72,Gold,2022-08-31
148,Customer_148,customer148@email.com,Dallas,TX,30,Bronze,2020-12-04
149,Customer_149,customer149@email.com,Houston,CA,40,Silver,2021-06-26
150,Customer_150,customer150@email.com,Dallas,CA,42,Gold,2022-12-16
151,Customer_151,customer151@email.com,Chicago,TX,52,Platinum,2022-05-16
152,Customer_152,customer152@email.com,San Antonio,PA,58,Bronze,2021-03-09
153,Customer_153,customer153@email.com,Philadelphia,IL,47,Platinum,2021-02-15
154,Customer_154,customer154@email.com,San Diego,TX,34,Silver,2021-09-30
155,Customer_155,customer155@email.com,Dallas,CA,66,Bronze,2022-03-28
156,Customer_156,customer156@email.com,Phoenix,PA,79,Silver,2022-02-03
157,Customer_157,customer157@email.com,New York,CA,37,Platinum,2022-06-16
158,Customer_158,customer158@email.com,Chicago,CA,65,Silver,2022-11-25
159,Customer_159,customer159@email.com,San Jose,PA,42,Bronze,2022-07-13
160,Customer_160,customer160@email.com,San Diego,NY,39,Silver,2020-09-04
161,Customer_161,customer161@email.com,Philadelphia,TX,30,Bronze,2021-05-22
162,Customer_162,customer162@email.com,San Diego,CA,76,Bronze,2021-04-05
163,Customer_163,customer163@email.com,Dallas,PA,36,Bronze,2020-05-11
164,Customer_164,customer164@email.com,Houston,PA,66,Bronze,2021-11-23
165,Customer_165,customer165@email.com,New York,AZ,53,Bronze,2020-02-13
166,Customer_166,customer166@email.com,New York,NY,29,Bronze,2021-04-16
167,Customer_167,customer167@email.com,San Jose,CA,78,Silver,2021-03-27
168,Customer_168,customer168@email.com,Houston,AZ,58,Bronze,2020-01-15
169,Customer_169,customer169@email.com,San Antonio,AZ,36,Bronze,2020-05-25
170,Customer_170,customer170@email.com,Los Angeles,TX,29,Gold,2020-04-30
171,Customer_171,customer171@email.com,Chicago,TX,26,Silver,2021-04-13
172,Customer_172,customer172@email.com,New York,PA,24,Silver,2020-05-18
173,Customer_173,customer173@email.com,Phoenix,TX,45,Bronze,2020-03-05
174,Customer_174,customer174@email.com,New York,IL,31,Bronze,2021-11-07
175,Customer_175,customer175@email.com,San Diego,TX,48,Bronze,2020-05-25
176,Customer_176,customer176@email.com,New York,CA,69,Bronze,2022-11-18
177,Customer_177,customer177@email.com,New York,TX,36,Bronze,2021-05-02
178,Customer_178,customer178@email.com,Los Angeles,CA,75,Bronze,2021-07-24
179,Customer_179,customer179@email.com,Los Angeles,CA,64,Bronze,2022-09-21
180,Customer_180,customer180@email.com,Philadelphia,IL,33,Bronze,2021-03-14
181,Customer_181,customer181@email.com,San Antonio,NY,70,Silver,2020-09-27
182,Customer_182,customer182@email.com,Phoenix,CA,22,Bronze,2022-08-26
183,Customer_183,customer183@email.com,New York,IL,52,Bronze,2021-05-12
184,Customer_184,customer184@email.com,New York,CA,29,Silver,2022-08-26
185,Customer_185,customer185@email.com,Chicago,TX,42,Silver,2022-04-13
186,Customer_186,customer186@email.com,Los Angeles,CA,69,Bronze,2021-01-24
187,Customer_187,customer187@email.com,Phoenix,AZ,76,Gold,2020-07-12
188,Customer_188,customer188@email.com,San Jose,CA,38,Silver,2020-07-17
189,Customer_189,customer189@email.com,Philadelphia,AZ,53,Bronze,2022-06-01
190,Customer_190,customer190@email.com,San Antonio,TX,70,Gold,2021-12-26
191,Customer_191,customer191@email.com,Houston,TX,40,Platinum,2022-05-17
192,Customer_192,customer192@email.com,San Antonio,AZ,33,Bronze,2022-04-21
193,Customer_193,customer193@email.com,San Diego,NY,74,Bronze,2022-08-14
194,Customer_194,customer194@email.com,New York,CA,56,Gold,2020-04-20
195,Customer_195,customer195@email.com,Philadelphia,CA,62,Gold,2020-07-20
196,Customer_196,customer196@email.com,San Diego,NY,70,Bronze,2020-05-04
197,Customer_197,customer197@email.com,Phoenix,CA,59,Bronze,2022-04-04
198,Customer_198,customer198@email.com,Houston,PA,75,Bronze,2021-11-25
199,Customer_199,customer199@email.com,Los Angeles,TX,56,Silver,2020-08-11
200,Customer_200,customer200@email.com,Philadelphia,CA,31,Silver,2021-05-24
